year,month,precipMM
2009,Jan,0
2009,Feb,0
2009,Mar,0
2009,Apr,0
2009,May,0
2009,Jun,0.1
2009,Jul,0.36
2009,Aug,0.31
2009,Sep,0.11
2009,Oct,0.05
2009,Nov,0.08
2009,Dec,0
2010,Jan,0.01
2010,Feb,0
2010,Mar,0
2010,Apr,0
2010,May,0
2010,Jun,0.09
2010,Jul,0.38
2010,Aug,0.16
2010,Sep,0.17
2010,Oct,0.04
2010,Nov,0.03
2010,Dec,0
2011,Jan,0
2011,Feb,0.01
2011,Mar,0
2011,Apr,0.01
2011,May,0.01
2011,Jun,0.14
2011,Jul,0.27
2011,Aug,0.37
2011,Sep,0.1
2011,Oct,0
2011,Nov,0
2011,Dec,0.01
2012,Jan,0.03
2012,Feb,0
2012,Mar,0
2012,Apr,0.01
2012,May,0.01
2012,Jun,0.13
2012,Jul,0.24
2012,Aug,0.32
2012,Sep,0.1
2012,Oct,0.02
2012,Nov,0.01
2012,Dec,0
2013,Jan,0
2013,Feb,0.02
2013,Mar,0.01
2013,Apr,0.02
2013,May,0
2013,Jun,0.14
2013,Jul,0.27
2013,Aug,0.12
2013,Sep,0.09
2013,Oct,0.03
2013,Nov,0
2013,Dec,0
2014,Jan,0
2014,Feb,0.02
2014,Mar,0.02
2014,Apr,0
2014,May,0
2014,Jun,0.02
2014,Jul,0.25
2014,Aug,0.07
2014,Sep,0.05
2014,Oct,0.01
2014,Nov,0
2014,Dec,0
2015,Jan,0.01
2015,Feb,0.01
2015,Mar,0.04
2015,Apr,0
2015,May,0
2015,Jun,0.21
2015,Jul,0.17
2015,Aug,0.27
2015,Sep,0.04
2015,Oct,0
2015,Nov,0
2015,Dec,0
2016,Jan,0.01
2016,Feb,0
2016,Mar,0.01
2016,Apr,0
2016,May,0
2016,Jun,0.1
2016,Jul,0.33
2016,Aug,0.14
2016,Sep,0.18
2016,Oct,0.04
2016,Nov,0
2016,Dec,0
2017,Jan,0
2017,Feb,0
2017,Mar,0
2017,Apr,0
2017,May,0.01
2017,Jun,0.14
2017,Jul,0.24
2017,Aug,0.18
2017,Sep,0.07
2017,Oct,0.04
2017,Nov,0
2017,Dec,0
2018,Jan,0
2018,Feb,0.03
2018,Mar,0
2018,Apr,0
2018,May,0
2018,Jun,0.19
2018,Jul,0.27
2018,Aug,0.15
2018,Sep,0.08
2018,Oct,0
2018,Nov,0
2018,Dec,0
2019,Jan,0.03
2019,Feb,0
2019,Mar,0.04
2019,Apr,0.02
2019,May,0
2019,Jun,0.26
2019,Jul,0.78
2019,Aug,0.87
2019,Sep,1.16
2019,Oct,0.09
2019,Nov,0.03
2019,Dec,0.02
2020,Jan,0.2
